n_users,n_trips,events_per_trip,db,query,time_seconds,memory_mb
10000,50000,5,neo4j,query1,0.005,303.88
10000,50000,5,neo4j,query2,0.0063,303.88
10000,50000,5,spark_doc,query2,0.4663,304.71
10000,50000,5,spark_graph,pagerank,4.1314,304.57
10000,50000,5,spark_graph,connected_components,0.7402,304.57
10000,50000,10,postgres,load,91.3093,425.11
10000,50000,10,postgres,query1,0.9094,425.23
10000,50000,10,postgres,query2,0.0817,425.26
10000,50000,10,postgres,query3,0.7594,425.26
10000,50000,10,postgres,query4,1.1017,425.3
10000,50000,10,mongodb,load,29.9188,425.29
10000,50000,10,mongodb,query1_lookup,13.7329,426.3
10000,50000,10,mongodb,query2,1.5441,426.3
10000,50000,10,mongodb,query3,0.0907,426.3
10000,50000,10,mongodb,query4,0.4288,426.32
10000,50000,10,neo4j,load,14.2244,426.88
10000,50000,10,neo4j,query1,0.006,426.88
10000,50000,10,neo4j,query2,0.0069,426.88
10000,50000,10,spark_doc,query2,0.4588,426.47
10000,50000,10,spark_graph,pagerank,4.018,426.32
10000,50000,10,spark_graph,connected_components,0.769,426.32
10000,100000,0,postgres,load,20.9454,364.09
10000,100000,0,postgres,query1,1.774,364.44
10000,100000,0,postgres,query2,0.1842,364.44
10000,100000,0,postgres,query3,1.7771,364.44
10000,100000,0,postgres,query4,0.004,364.44
10000,100000,0,mongodb,load,5.3573,363.43
10000,100000,0,mongodb,query1_lookup,21.7026,367.29
10000,100000,0,mongodb,query2,2.3852,367.29
10000,100000,0,mongodb,query3,0.245,367.29
10000,100000,0,mongodb,query4,0.198,367.29
10000,100000,0,neo4j,load,28.5386,367.25
10000,100000,0,neo4j,query1,0.0149,367.25
10000,100000,0,neo4j,query2,0.008,367.25
10000,100000,0,spark_doc,query2,0.4191,365.36
10000,100000,0,spark_graph,pagerank,3.8362,362.68
10000,100000,0,spark_graph,connected_components,0.8848,362.68
10000,100000,2,postgres,load,55.3092,378.23
10000,100000,2,postgres,query1,1.7971,378.78
10000,100000,2,postgres,query2,0.2363,378.78
10000,100000,2,postgres,query3,1.6191,377.78
10000,100000,2,postgres,query4,0.9091,377.79
10000,100000,2,mongodb,load,55.7191,373.68
10000,100000,2,mongodb,query1_lookup,27.9299,376.97
10000,100000,2,mongodb,query2,2.6207,376.99
10000,100000,2,mongodb,query3,0.2472,376.99
10000,100000,2,mongodb,query4,0.6662,377.32
10000,100000,2,neo4j,load,27.8176,377.01
10000,100000,2,neo4j,query1,0.0079,377.01
10000,100000,2,neo4j,query2,0.0083,377.01
10000,100000,2,spark_doc,query2,0.3918,375.7
10000,100000,2,spark_graph,pagerank,5.0278,374.11
10000,100000,2,spark_graph,connected_components,0.9406,374.11
10000,100000,5,postgres,load,99.703,432.14
10000,100000,5,postgres,query1,1.7332,430.37
10000,100000,5,postgres,query2,0.2591,428.37
10000,100000,5,postgres,query3,1.6332,428.37
10000,100000,5,postgres,query4,1.5053,428.37
10000,100000,5,mongodb,load,57.3245,445.21
10000,100000,5,mongodb,query1_lookup,27.4034,442.59
10000,100000,5,mongodb,query2,2.7122,440.59
10000,100000,5,mongodb,query3,0.1774,440.59
10000,100000,5,mongodb,query4,0.9177,442.41
10000,100000,5,neo4j,load,29.2122,442.38
10000,100000,5,neo4j,query1,0.0061,442.38
10000,100000,5,neo4j,query2,0.0087,442.38
10000,100000,5,spark_doc,query2,0.489,440.22
10000,100000,5,spark_graph,pagerank,5.158,438.39
10000,100000,5,spark_graph,connected_components,0.9309,438.39
10000,100000,10,postgres,load,182.2776,682.88
10000,100000,10,postgres,query1,1.7815,682.95
10000,100000,10,postgres,query2,0.2507,682.95
10000,100000,10,postgres,query3,1.5581,682.95
10000,100000,10,postgres,query4,1.9652,682.97
10000,100000,10,mongodb,load,58.9988,694.88
10000,100000,10,mongodb,query1_lookup,26.9798,690.83
10000,100000,10,mongodb,query2,2.7059,690.83
10000,100000,10,mongodb,query3,0.2523,690.83
10000,100000,10,mongodb,query4,1.1496,689.85
10000,100000,10,neo4j,load,29.3219,689.91
10000,100000,10,neo4j,query1,0.0129,689.91
10000,100000,10,neo4j,query2,0.0339,689.91
10000,100000,10,spark_doc,query2,0.4351,687.53
10000,100000,10,spark_graph,pagerank,4.015,686.64
10000,100000,10,spark_graph,connected_components,0.8229,686.64
50000,10000,0,postgres,load,10.9816,355.41
50000,10000,0,postgres,query1,0.205,355.41
50000,10000,0,postgres,query2,0.2912,354.55
50000,10000,0,postgres,query3,0.1206,352.55
50000,10000,0,postgres,query4,0.003,352.55
50000,10000,0,mongodb,load,1.6759,350.29
50000,10000,0,mongodb,query1_lookup,2.7312,350.29
50000,10000,0,mongodb,query2,1.9951,351.01
50000,10000,0,mongodb,query3,0.012,351.01
50000,10000,0,mongodb,query4,0.006,351.01
50000,10000,0,neo4j,load,6.8451,350.92
50000,10000,0,neo4j,query1,0.3823,350.92
50000,10000,0,neo4j,query2,0.0092,350.92
50000,10000,0,spark_doc,query2,0.5156,351.12
50000,10000,0,spark_graph,pagerank,4.2721,349.97
50000,10000,0,spark_graph,connected_components,0.8564,349.97
50000,10000,2,postgres,load,12.7931,349.27
50000,10000,2,postgres,query1,0.222,348.38
50000,10000,2,postgres,query2,0.1994,348.48
50000,10000,2,postgres,query3,0.1156,348.48
50000,10000,2,postgres,query4,0.1431,347.54
50000,10000,2,mongodb,load,6.6139,348.08
50000,10000,2,mongodb,query1_lookup,2.6433,348.08
50000,10000,2,mongodb,query2,2.0345,348.09
50000,10000,2,mongodb,query3,0.0119,348.09
50000,10000,2,mongodb,query4,0.023,348.73
50000,10000,2,neo4j,load,5.0066,348.62
50000,10000,2,neo4j,query1,0.003,348.62
50000,10000,2,neo4j,query2,0.0063,348.62
50000,10000,2,spark_doc,query2,0.5232,349.76
50000,10000,2,spark_graph,pagerank,3.8461,349.61
50000,10000,2,spark_graph,connected_components,0.8318,349.61
50000,10000,5,postgres,load,19.5887,346.08
50000,10000,5,postgres,query1,0.2069,346.09
50000,10000,5,postgres,query2,0.2544,346.15
50000,10000,5,postgres,query3,0.0887,346.15
50000,10000,5,postgres,query4,0.3306,346.15
50000,10000,5,mongodb,load,6.9051,346.72
50000,10000,5,mongodb,query1_lookup,2.716,346.72
50000,10000,5,mongodb,query2,1.9191,346.72
50000,10000,5,mongodb,query3,0.0189,346.72
50000,10000,5,mongodb,query4,0.0737,346.72
50000,10000,5,neo4j,load,4.6141,346.61
50000,10000,5,neo4j,query1,0.004,346.61
50000,10000,5,neo4j,query2,0.007,346.61
50000,10000,5,spark_doc,query2,0.4928,348.78
50000,10000,5,spark_graph,pagerank,3.8132,348.63
50000,10000,5,spark_graph,connected_components,0.8843,348.63
50000,10000,10,postgres,load,25.5959,347.76
50000,10000,10,postgres,query1,0.1774,347.78
50000,10000,10,postgres,query2,0.2148,347.79
50000,10000,10,postgres,query3,0.0598,347.79
50000,10000,10,postgres,query4,0.3111,347.79
50000,10000,10,mongodb,load,6.9008,345.29
50000,10000,10,mongodb,query1_lookup,2.6876,345.29
50000,10000,10,mongodb,query2,2.0571,345.49
50000,10000,10,mongodb,query3,0.012,345.49
50000,10000,10,mongodb,query4,0.0519,345.49
50000,10000,10,neo4j,load,3.9959,345.41
50000,10000,10,neo4j,query1,0.102,345.41
50000,10000,10,neo4j,query2,0.0863,345.41
50000,10000,10,spark_doc,query2,0.4814,345.97
50000,10000,10,spark_graph,pagerank,3.9052,345.82
50000,10000,10,spark_graph,connected_components,0.8275,345.82
50000,50000,0,postgres,load,17.1637,342.79
50000,50000,0,postgres,query1,0.9259,342.91
50000,50000,0,postgres,query2,0.3319,343.17
50000,50000,0,postgres,query3,0.8839,343.17
50000,50000,0,postgres,query4,0.004,343.17
50000,50000,0,mongodb,load,3.8027,340.05
50000,50000,0,mongodb,query1_lookup,11.6542,341.52
50000,50000,0,mongodb,query2,2.1997,341.53
50000,50000,0,mongodb,query3,0.0888,341.53
50000,50000,0,mongodb,query4,0.0548,341.53
50000,50000,0,neo4j,load,16.1701,341.45
50000,50000,0,neo4j,query1,0.1316,341.45
50000,50000,0,neo4j,query2,0.0149,341.45
50000,50000,0,spark_doc,query2,0.5529,342.1
50000,50000,0,spark_graph,pagerank,3.7952,342.33
50000,50000,0,spark_graph,connected_components,0.6821,342.33
50000,50000,2,postgres,load,32.9976,349.0
50000,50000,2,postgres,query1,1.0188,349.01
50000,50000,2,postgres,query2,0.3177,349.01
50000,50000,2,postgres,query3,0.4754,349.01
50000,50000,2,postgres,query4,0.6133,349.01
50000,50000,2,mongodb,load,28.8709,345.46
50000,50000,2,mongodb,query1_lookup,13.5759,346.55
50000,50000,2,mongodb,query2,3.0996,346.56
50000,50000,2,mongodb,query3,0.0851,346.56
50000,50000,2,mongodb,query4,0.3098,346.56
50000,50000,2,neo4j,load,11.8177,346.91
50000,50000,2,neo4j,query1,0.005,346.91
50000,50000,2,neo4j,query2,0.0242,346.91
50000,50000,2,spark_doc,query2,0.5046,349.77
50000,50000,2,spark_graph,pagerank,3.9939,349.63
50000,50000,2,spark_graph,connected_components,0.7168,349.63
50000,50000,5,postgres,load,59.3866,357.01
50000,50000,5,postgres,query1,0.9642,357.07
50000,50000,5,postgres,query2,0.3105,357.07
50000,50000,5,postgres,query3,0.7719,357.07
50000,50000,5,postgres,query4,1.2524,357.07
50000,50000,5,mongodb,load,29.6478,357.01
50000,50000,5,mongodb,query1_lookup,14.1715,357.05
50000,50000,5,mongodb,query2,3.3463,357.07
50000,50000,5,mongodb,query3,0.0589,357.07
50000,50000,5,mongodb,query4,0.4806,357.12
50000,50000,5,neo4j,load,10.0635,355.4
50000,50000,5,neo4j,query1,0.0047,355.4
50000,50000,5,neo4j,query2,0.0143,355.4
50000,50000,5,spark_doc,query2,0.5234,356.84
50000,50000,5,spark_graph,pagerank,3.888,356.69
50000,50000,5,spark_graph,connected_components,0.7299,356.69
50000,50000,10,postgres,load,99.3239,434.22
50000,50000,10,postgres,query1,0.9162,434.23
50000,50000,10,postgres,query2,0.2803,434.24
50000,50000,10,postgres,query3,0.6903,434.24
50000,50000,10,postgres,query4,1.107,434.61
50000,50000,10,mongodb,load,30.8065,436.67
50000,50000,10,mongodb,query1_lookup,13.881,437.04
50000,50000,10,mongodb,query2,3.3708,437.04
50000,50000,10,mongodb,query3,0.0865,437.04
50000,50000,10,mongodb,query4,0.4161,437.04
50000,50000,10,neo4j,load,16.3019,436.94
50000,50000,10,neo4j,query1,0.004,436.94
50000,50000,10,neo4j,query2,0.0238,436.94
50000,50000,10,spark_doc,query2,0.5615,436.43
50000,50000,10,spark_graph,pagerank,4.9652,436.28
50000,50000,10,spark_graph,connected_components,0.9943,436.28
50000,100000,0,postgres,load,29.5648,366.77
50000,100000,0,postgres,query1,1.811,367.66
50000,100000,0,postgres,query2,0.432,367.66
50000,100000,0,postgres,query3,1.3727,367.66
50000,100000,0,postgres,query4,0.004,367.66
50000,100000,0,mongodb,load,5.5485,365.04
50000,100000,0,mongodb,query1_lookup,27.6586,368.94
50000,100000,0,mongodb,query2,4.5447,368.96
50000,100000,0,mongodb,query3,0.1714,368.96
50000,100000,0,mongodb,query4,0.1176,368.96
50000,100000,0,neo4j,load,29.6388,368.86
50000,100000,0,neo4j,query1,0.007,368.86
50000,100000,0,neo4j,query2,0.6265,368.86
50000,100000,0,spark_doc,query2,0.6668,368.24
50000,100000,0,spark_graph,pagerank,4.9392,365.09
50000,100000,0,spark_graph,connected_components,0.8791,365.09
50000,100000,2,postgres,load,58.7588,380.95
50000,100000,2,postgres,query1,1.8055,381.84
50000,100000,2,postgres,query2,0.4845,381.84
50000,100000,2,postgres,query3,1.7893,381.84
50000,100000,2,postgres,query4,0.934,381.86
50000,100000,2,mongodb,load,57.4353,377.93
50000,100000,2,mongodb,query1_lookup,27.5089,380.84
50000,100000,2,mongodb,query2,4.6568,380.96
50000,100000,2,mongodb,query3,0.2372,380.96
50000,100000,2,mongodb,query4,0.6513,380.96
50000,100000,2,neo4j,load,29.7937,381.1
50000,100000,2,neo4j,query1,0.0062,381.1
50000,100000,2,neo4j,query2,0.0116,381.1
50000,100000,2,spark_doc,query2,0.6147,383.07
50000,100000,2,spark_graph,pagerank,4.8889,378.7
50000,100000,2,spark_graph,connected_components,0.8949,378.7
50000,100000,5,postgres,load,109.163,462.88
50000,100000,5,postgres,query1,1.7903,462.91
50000,100000,5,postgres,query2,0.5017,462.93
50000,100000,5,postgres,query3,1.6204,462.93
50000,100000,5,postgres,query4,1.5952,462.93
50000,100000,5,mongodb,load,57.5595,472.68
50000,100000,5,mongodb,query1_lookup,27.035,473.3
50000,100000,5,mongodb,query2,4.5956,472.33
50000,100000,5,mongodb,query3,0.2117,472.33
50000,100000,5,mongodb,query4,0.9431,473.02
50000,100000,5,neo4j,load,23.8066,471.93
50000,100000,5,neo4j,query1,0.0059,471.93
50000,100000,5,neo4j,query2,0.0096,471.93
50000,100000,5,spark_doc,query2,0.5823,467.47
50000,100000,5,spark_graph,pagerank,4.4713,467.31
50000,100000,5,spark_graph,connected_components,0.7941,467.31
50000,100000,10,postgres,load,187.0909,710.68
50000,100000,10,postgres,query1,1.8306,710.68
50000,100000,10,postgres,query2,0.4578,710.68
50000,100000,10,postgres,query3,1.6583,710.68
50000,100000,10,postgres,query4,2.0792,710.68
50000,100000,10,mongodb,load,61.3628,714.3
50000,100000,10,mongodb,query1_lookup,27.6775,713.62
50000,100000,10,mongodb,query2,4.8244,713.64
50000,100000,10,mongodb,query3,0.1929,713.64
50000,100000,10,mongodb,query4,1.0949,714.21
50000,100000,10,neo4j,load,31.9864,714.12
50000,100000,10,neo4j,query1,0.0041,714.12
50000,100000,10,neo4j,query2,0.0344,714.12
50000,100000,10,spark_doc,query2,0.6317,711.43
50000,100000,10,spark_graph,pagerank,4.0683,709.29
50000,100000,10,spark_graph,connected_components,0.8008,709.29
10000,10000,2,postgres,load,8.6468,132.45
10000,10000,2,postgres,query1,0.3428,135.81
10000,10000,2,postgres,query2,0.0754,138.24
10000,10000,2,postgres,query3,0.1265,136.24
10000,10000,2,postgres,query4,0.2336,136.25
10000,10000,2,mongodb,load,13.4668,144.96
10000,10000,2,mongodb,query1_lookup,2.6403,145.51
10000,10000,2,mongodb,query2,0.6198,145.52
10000,10000,2,mongodb,query3,0.0251,145.52
10000,10000,2,mongodb,query4,0.0986,144.92
10000,10000,2,neo4j,load,11.6793,144.79
10000,10000,2,neo4j,query1,0.587,144.79
10000,10000,2,neo4j,query2,0.4622,144.79
10000,10000,2,spark_doc,query2,1.6441,144.98
10000,10000,2,spark_graph,pagerank,10.8622,151.78
10000,10000,2,spark_graph,connected_components,1.5188,151.78
